N,P,K,temperature,humidity,ph,rainfall,label
106.0,29.0,35.6,25.87,83.98,6.09,149.1,sugarcane
27.8,136.8,194.0,23.52,80.37,5.46,63.83,grapes
134.2,66.3,51.2,28.8,80.31,6.51,64.33,banana
62.5,60.4,23.3,20.03,58.99,6.48,38.92,maize
102.5,63.6,32.4,25.43,87.63,6.19,189.63,rice
107.9,30.1,99.8,13.78,68.88,6.45,113.18,potato
61.0,62.9,53.5,25.49,41.63,7.1,84.07,sunflower
37.2,50.9,23.9,31.03,71.7,7.15,72.34,blackgram
24.5,66.6,17.1,16.61,27.72,5.97,55.28,kidneybeans
112.4,63.6,71.4,31.65,75.05,5.5,70.92,tomato
30.2,60.0,44.4,32.15,94.82,6.4,141.37,papaya
51.8,38.8,87.5,12.39,60.3,4.77,81.94,potato
85.2,66.0,77.5,21.51,51.15,6.59,20.1,onion
68.0,35.6,56.3,22.37,86.24,5.43,128.01,ginger
47.9,36.4,61.6,23.38,62.19,7.78,38.62,onion
16.1,13.5,43.7,20.01,90.23,6.67,133.88,pomegranate
113.0,12.2,44.5,29.93,89.38,6.52,19.81,muskmelon
21.1,6.8,37.3,19.9,89.9,6.31,114.73,pomegranate
23.7,84.6,19.2,23.96,59.58,6.4,38.19,lentil
84.2,47.0,42.5,27.42,52.84,6.47,56.47,sorghum
93.4,56.0,39.8,28.1,81.69,6.1,133.52,banana
48.7,59.3,39.4,22.99,57.94,6.73,47.33,sunflower
60.5,62.9,46.4,31.7,95.74,6.75,207.3,papaya
21.8,35.7,29.4,27.01,85.19,5.62,66.31,mungbean
81.4,22.7,28.1,29.63,91.16,6.25,22.72,muskmelon
108.9,75.1,53.4,24.77,81.59,5.25,112.93,banana
106.6,16.9,55.4,31.4,91.2,6.29,24.64,muskmelon
60.9,40.7,71.1,11.12,62.82,5.71,70.57,potato
27.1,28.6,13.1,32.14,82.46,6.84,56.44,mungbean
96.6,51.7,74.2,17.75,63.89,5.13,46.51,potato
98.1,44.4,28.5,31.84,60.56,7.07,65.46,sorghum
15.8,64.8,20.7,23.46,72.42,6.2,78.84,soybean
79.8,70.1,28.8,23.73,49.94,6.55,14.75,sunflower
113.9,51.1,63.3,25.91,56.33,6.4,80.44,onion
27.5,61.9,61.7,16.46,16.97,7.11,96.35,chickpea
10.6,138.1,206.7,28.27,73.25,6.5,94.2,grapes
116.1,70.6,63.4,28.31,81.34,6.38,94.12,tomato
22.5,151.4,224.3,21.24,94.18,7.2,41.91,apple
21.7,11.1,29.5,24.26,63.25,6.8,60.21,fingermillet
91.8,60.9,31.0,10.55,53.08,6.54,35.65,mustard
70.5,53.2,12.1,22.54,68.53,6.17,81.28,maize
93.6,52.2,65.9,15.17,65.86,5.96,44.39,potato
53.4,30.4,28.2,31.02,56.41,7.2,62.04,sorghum
52.8,41.5,64.6,13.8,70.49,6.55,60.18,garlic
99.2,48.9,42.4,17.38,34.62,7.33,86.16,wheat
97.1,57.1,66.3,16.44,83.06,5.14,66.21,potato
12.7,17.8,7.4,26.79,94.4,6.45,86.94,orange
29.4,34.7,25.5,18.93,87.46,6.8,58.52,fingermillet
98.4,18.7,51.2,28.96,95.55,6.16,44.64,muskmelon
112.5,20.6,56.8,29.15,84.47,6.41,34.22,watermelon
15.9,125.8,190.2,22.57,93.7,4.99,169.39,apple
13.9,29.0,26.7,32.51,54.47,7.41,45.17,mothbeans
77.1,54.2,45.2,19.17,78.58,6.35,246.52,rice
29.5,127.7,176.0,16.98,91.55,6.46,138.55,apple
42.8,43.3,29.2,18.15,37.58,7.3,37.06,barley
139.4,33.3,19.2,26.58,90.84,6.62,45.8,cotton
96.0,17.1,59.6,35.89,90.4,6.83,11.74,muskmelon
22.1,76.9,21.5,26.36,45.66,5.85,162.35,pigeonpeas
46.5,48.3,45.9,25.74,73.42,6.82,202.01,jute
28.3,75.1,35.4,25.97,66.72,5.63,87.7,soybean
22.9,37.9,18.7,29.32,55.43,5.82,39.4,groundnut
26.0,30.9,24.3,21.49,82.66,6.42,36.62,mungbean
129.5,32.3,44.5,29.8,78.27,7.21,188.88,sugarcane
62.5,60.1,58.5,30.75,92.19,6.85,116.52,papaya
24.2,17.3,12.6,26.39,92.4,7.06,162.86,orange
43.0,56.9,105.6,21.43,13.25,6.94,103.35,chickpea
18.3,121.5,208.6,20.3,88.29,5.6,146.25,apple
46.5,20.7,14.2,13.25,48.89,7.59,29.99,barley
19.5,15.3,5.8,21.24,92.79,7.65,152.46,orange
16.5,51.9,27.5,26.8,88.61,6.27,35.36,mungbean
69.1,51.0,18.5,25.62,76.92,7.51,54.39,cotton
92.4,17.5,35.2,22.64,56.75,6.25,63.35,wheat
94.2,23.5,55.2,31.12,90.69,6.34,31.47,muskmelon
27.3,59.8,16.9,24.34,22.53,5.5,37.49,kidneybeans
61.6,70.3,20.2,30.29,60.59,7.03,52.85,blackgram
25.2,49.5,16.8,26.17,58.53,5.91,51.33,groundnut
38.4,50.4,56.0,27.06,81.78,6.27,200.49,ginger
56.9,52.5,72.4,11.93,82.22,5.62,73.7,potato
30.8,27.7,36.5,18.26,92.57,7.27,105.38,pomegranate
49.5,77.4,35.8,21.72,54.44,5.7,55.28,sunflower
109.1,36.2,38.0,29.73,79.63,6.04,153.94,sugarcane
18.3,41.1,19.1,31.16,89.45,6.76,65.45,mungbean
49.4,67.2,77.9,18.06,18.77,7.74,65.47,chickpea
35.4,51.9,24.4,27.43,49.92,6.11,234.69,pigeonpeas
24.4,77.7,18.7,23.58,77.7,6.14,139.51,soybean
43.9,47.9,41.6,21.22,64.69,5.62,38.6,garlic
86.7,16.5,40.8,25.86,84.91,6.25,62.05,watermelon
30.0,43.7,24.1,24.19,64.24,4.92,97.41,groundnut
98.5,25.4,74.3,14.76,78.61,5.27,69.28,potato
16.8,29.7,21.3,29.33,44.31,6.35,155.24,mango
68.3,33.1,45.1,14.99,56.55,7.13,56.53,mustard
19.1,23.7,24.6,29.87,45.17,7.04,130.08,mango
85.3,48.4,64.0,23.62,44.98,6.73,47.22,onion
135.8,59.5,27.9,22.32,87.95,6.79,78.39,cotton
158.7,51.2,21.6,23.16,71.47,7.13,120.67,cotton
13.0,33.6,27.8,29.77,69.16,6.84,26.45,mothbeans
80.0,54.2,73.6,27.45,68.81,5.97,31.91,tomato
29.7,34.4,27.1,27.84,53.04,5.27,43.46,groundnut
8.7,50.4,27.7,26.66,58.15,6.44,86.08,mothbeans
24.7,83.4,14.5,20.07,67.15,7.6,41.85,lentil
85.2,41.2,32.1,17.21,68.04,7.25,30.27,mustard
147.3,72.4,50.4,12.05,36.36,7.84,40.25,mustard
14.7,110.5,174.3,23.21,76.09,6.1,70.25,grapes
102.0,60.3,13.7,18.41,82.74,5.76,70.26,maize
19.7,16.8,45.6,22.09,89.9,6.56,90.45,pomegranate
26.6,30.3,25.9,33.04,45.97,6.35,91.36,mango
57.3,53.0,56.9,25.57,87.23,5.2,167.46,ginger
76.2,73.5,39.9,17.0,48.32,6.37,50.62,mustard
52.8,50.7,67.9,10.83,54.13,5.68,48.78,garlic
65.3,50.4,66.5,20.23,62.26,5.63,25.42,garlic
18.9,6.6,39.7,21.85,90.07,6.19,91.03,pomegranate
63.3,54.5,67.8,14.13,75.74,5.79,79.2,potato
120.6,27.0,32.3,19.17,55.24,6.61,65.97,wheat
19.0,114.6,207.9,24.59,86.85,5.94,84.47,grapes
21.1,56.1,20.6,27.92,48.63,5.56,111.76,pigeonpeas
18.3,78.4,24.3,23.95,64.65,7.15,52.87,lentil
16.6,19.6,23.8,30.84,88.67,6.14,181.87,coconut
11.6,66.6,25.4,22.87,78.42,5.85,86.92,soybean
15.5,61.1,20.1,18.99,19.11,5.45,125.21,kidneybeans
45.8,31.6,32.3,32.1,44.86,7.19,79.39,sorghum
70.3,94.0,46.3,29.8,78.67,5.93,96.65,banana
126.7,58.5,42.7,26.01,76.48,5.59,161.39,sugarcane
95.2,48.0,15.7,10.49,36.31,7.18,32.49,mustard
87.8,17.9,52.6,23.44,77.79,5.79,73.23,watermelon
92.1,59.5,38.3,22.2,64.72,6.57,82.74,sunflower
96.1,58.8,35.8,19.09,50.29,6.55,29.86,mustard
94.1,25.0,30.5,25.99,77.46,7.48,172.34,jute
21.4,60.0,28.6,30.51,62.62,6.81,51.77,lentil
18.4,83.5,10.1,23.11,65.29,6.9,67.8,lentil
148.9,80.2,41.4,24.79,79.58,4.1,114.39,banana
12.4,72.0,20.8,20.43,59.73,6.12,58.34,lentil
17.1,25.4,32.0,19.09,89.41,6.39,102.12,pomegranate
49.2,97.4,51.1,22.39,56.03,7.01,64.38,sunflower
16.8,69.6,20.8,20.02,54.8,6.57,39.47,lentil
14.9,74.7,29.3,25.81,68.17,6.93,58.89,lentil
21.5,50.7,12.8,34.41,40.24,7.26,19.21,mothbeans
85.5,37.2,13.2,18.88,61.72,7.05,96.81,maize
39.0,76.5,72.8,15.0,15.8,7.76,61.28,chickpea
46.3,51.9,37.1,27.39,90.0,5.38,170.79,ginger
37.3,44.2,32.5,11.45,41.51,6.54,21.16,barley
91.1,37.5,38.8,25.77,83.87,7.0,199.35,rice
6.0,61.7,21.3,12.62,63.34,5.24,96.6,maize
99.3,48.0,33.8,17.76,58.5,7.37,71.09,wheat
91.7,38.9,22.7,22.1,82.96,7.15,97.92,cotton
14.8,12.5,8.4,18.73,90.66,6.55,71.3,orange
40.5,61.7,73.8,22.34,14.21,7.16,82.78,chickpea
13.5,67.6,11.9,20.57,21.89,5.36,120.85,kidneybeans
16.2,49.1,19.5,33.42,56.78,6.81,41.97,mothbeans
100.4,22.7,42.7,27.32,92.71,6.67,10.0,muskmelon
60.9,47.4,67.4,37.52,92.65,6.09,172.05,papaya
47.6,32.4,29.6,26.09,66.34,5.8,62.62,fingermillet
92.6,60.8,71.6,22.89,74.17,6.56,30.8,tomato
99.2,31.5,33.1,14.85,39.32,7.79,28.23,barley
98.3,58.9,50.9,20.51,54.57,6.17,111.22,wheat
27.5,10.7,3.2,31.47,96.53,5.81,130.31,coconut
99.6,36.8,41.6,29.05,80.97,6.38,191.6,jute
22.2,18.3,15.9,24.6,94.48,5.76,125.44,coconut
107.0,58.5,63.1,24.07,59.56,7.82,31.43,onion
50.7,40.2,47.7,36.13,95.18,6.27,155.62,papaya
39.5,81.1,70.9,18.02,50.36,6.3,65.13,sunflower
13.0,24.0,52.2,25.53,95.2,6.39,130.9,pomegranate
26.6,26.9,31.1,30.36,70.37,6.87,57.58,fingermillet
12.1,75.5,20.9,24.43,90.05,6.16,109.9,soybean
113.4,78.5,62.5,27.99,78.12,6.32,65.68,banana
143.5,64.0,21.3,22.77,79.62,5.81,101.0,maize
42.6,77.9,80.2,16.56,16.03,6.83,112.57,chickpea
80.2,49.5,25.2,26.4,74.81,6.66,102.4,cotton
92.8,64.1,21.9,25.36,86.97,7.25,62.14,cotton
47.3,46.8,81.2,23.09,18.2,8.13,55.47,chickpea
91.6,53.8,70.3,17.38,69.5,5.51,83.83,potato
24.4,124.0,219.0,21.13,84.84,6.4,96.08,grapes
108.1,62.2,30.0,13.34,54.06,6.89,67.82,mustard
63.9,54.7,38.2,22.99,78.8,6.83,233.52,rice
114.4,71.5,47.1,23.53,74.18,6.22,10.0,tomato
54.3,66.0,20.2,26.48,70.63,6.42,95.05,blackgram
29.2,65.4,32.8,30.03,71.77,7.01,110.01,soybean
122.4,108.6,50.3,25.7,78.66,6.01,61.59,banana
56.2,47.2,54.0,16.19,53.18,5.51,18.84,garlic
79.5,43.2,94.1,13.99,71.68,4.82,65.8,potato
21.6,25.4,30.6,18.6,90.54,7.17,104.0,pomegranate
92.4,39.9,38.0,23.62,73.91,6.55,185.78,jute
33.9,28.4,28.2,16.77,66.7,6.63,33.94,garlic
62.9,43.4,57.9,21.01,75.15,7.09,33.81,onion
53.2,54.2,19.2,25.45,83.47,6.67,165.76,jute
129.4,14.4,26.9,20.41,82.83,6.11,73.79,maize
26.4,88.4,15.7,25.04,76.67,6.32,100.2,soybean
91.4,42.1,44.9,24.46,70.25,6.39,208.94,jute
22.1,25.8,9.6,23.94,92.08,6.37,92.73,orange
70.4,45.7,41.9,33.61,44.19,6.28,83.08,sorghum
14.9,85.2,17.5,27.57,68.51,6.41,35.22,lentil
88.3,58.9,30.6,15.13,51.1,7.08,19.8,mustard
43.4,41.0,87.2,13.3,88.86,6.13,114.84,potato
105.7,62.8,74.8,27.91,87.9,5.88,88.99,tomato
27.9,46.4,35.5,20.68,66.93,6.45,59.3,groundnut
40.5,47.7,38.4,16.29,61.56,5.79,45.55,garlic
27.3,28.8,26.3,32.14,44.35,5.42,121.36,mango
139.8,47.7,40.0,25.85,75.41,7.63,201.66,sugarcane
66.7,41.2,40.9,27.25,84.65,4.96,207.31,ginger
113.2,63.4,37.8,28.26,75.59,6.78,181.87,jute
72.2,100.7,15.8,24.39,46.1,6.56,48.37,sunflower
76.1,58.0,37.3,17.76,53.49,6.44,44.31,mustard
15.3,12.8,37.5,18.97,91.45,6.77,129.3,pomegranate
133.2,52.8,40.1,29.35,79.8,6.74,143.69,sugarcane
91.4,28.0,45.0,24.82,92.13,6.7,59.29,watermelon
27.9,56.9,43.3,26.19,83.65,5.36,245.9,rice
91.7,53.7,29.1,15.04,63.27,7.54,61.19,mustard
53.4,71.1,33.2,21.02,59.42,6.55,47.32,sunflower
7.2,55.9,23.2,17.51,20.32,6.53,128.91,kidneybeans
15.8,12.3,8.2,24.49,90.55,7.65,123.74,orange
95.2,70.0,32.0,16.11,58.78,6.18,45.67,mustard
28.8,20.2,41.2,26.14,90.93,7.17,101.96,pomegranate
11.7,51.0,44.8,29.95,61.05,5.56,83.58,groundnut
15.2,19.9,8.1,20.55,93.09,5.82,139.91,orange
45.7,78.0,16.1,28.76,57.11,7.46,68.81,blackgram
88.7,25.5,54.9,23.77,81.95,6.25,40.77,watermelon
67.7,72.0,44.0,21.7,79.34,6.83,244.25,jute
21.0,59.1,16.1,26.43,50.17,5.37,169.36,pigeonpeas
156.9,43.2,22.2,22.22,75.05,6.41,49.79,cotton
21.9,64.7,24.4,19.73,26.44,6.22,72.93,kidneybeans
112.0,49.1,59.5,17.36,72.13,5.75,57.76,onion
32.9,86.5,40.6,22.82,84.72,5.52,141.48,banana
53.4,52.5,15.0,31.47,81.06,7.24,47.98,blackgram
63.3,23.6,37.0,10.39,43.14,7.92,50.55,barley
57.6,48.8,52.2,24.65,83.7,6.83,224.77,rice
6.8,117.9,167.0,19.29,90.44,6.4,142.32,apple
16.4,70.9,21.5,24.11,64.57,6.95,44.11,lentil
31.2,73.0,26.4,14.22,28.18,4.98,139.03,kidneybeans
79.7,44.1,27.3,20.52,55.42,6.07,77.82,wheat
21.5,85.2,15.9,28.97,43.48,5.94,92.34,pigeonpeas
33.3,80.6,24.9,28.0,59.71,6.77,45.27,blackgram
73.2,53.7,48.5,24.45,83.72,6.55,151.52,rice
14.4,44.1,24.1,30.49,80.82,6.29,47.24,mungbean
95.3,71.4,14.9,17.95,69.66,7.27,96.21,maize
52.9,47.6,84.2,14.3,68.03,6.37,77.56,potato
5.1,56.2,18.2,28.2,32.87,6.35,131.56,pigeonpeas
30.9,104.5,218.6,23.4,91.58,5.12,89.67,apple
34.8,142.6,246.3,23.67,74.75,5.32,42.18,grapes
34.1,87.1,25.0,25.46,52.9,6.41,155.4,pigeonpeas
49.9,83.8,19.7,31.2,69.93,7.14,78.12,blackgram
45.2,54.3,32.1,18.85,67.55,6.95,53.49,garlic
27.2,55.6,27.9,23.28,50.28,5.39,90.36,groundnut
28.5,38.8,38.8,12.48,42.06,7.85,63.37,barley
30.7,13.5,28.1,28.01,94.78,5.98,100.94,coconut
38.5,53.7,70.8,13.52,56.93,6.18,39.22,garlic
74.8,13.3,37.3,25.43,91.98,6.44,53.31,watermelon
83.1,39.9,41.2,34.1,48.22,7.03,50.13,sorghum
41.9,18.8,36.8,30.77,92.81,5.13,132.07,coconut
54.4,42.0,26.5,20.14,66.33,5.74,44.67,garlic
57.5,38.7,42.8,23.86,86.37,6.05,245.85,rice
51.4,30.4,35.3,16.97,63.81,6.61,28.21,garlic
20.3,73.7,19.6,24.53,57.64,5.9,79.2,pigeonpeas
108.7,52.7,48.9,14.06,58.63,6.7,83.68,wheat
98.6,31.0,6.2,26.24,55.45,6.46,61.35,maize
40.5,29.0,20.1,28.32,77.95,6.0,80.75,fingermillet
17.8,15.3,14.0,21.57,95.06,4.73,181.07,coconut
90.6,65.2,27.4,19.65,49.54,6.43,61.38,wheat
29.6,11.3,6.4,23.94,91.19,7.47,131.78,orange
67.5,72.0,41.5,21.16,57.13,6.3,87.96,sunflower
44.3,16.9,7.4,23.83,91.52,6.18,92.74,orange
114.4,78.1,63.0,28.7,84.29,5.78,51.62,tomato
10.9,28.3,38.7,30.16,49.02,6.46,126.8,mango
68.8,73.4,35.5,22.27,53.92,6.5,29.77,sunflower
26.3,36.2,38.9,31.3,55.08,6.13,115.77,mango
27.1,16.4,30.0,23.18,95.61,5.71,158.38,coconut
84.9,84.7,57.1,26.32,80.45,5.64,99.88,tomato
11.0,10.7,36.4,22.62,93.17,5.72,189.99,coconut
138.6,22.3,67.9,27.18,92.24,6.48,15.48,muskmelon
76.6,45.6,86.1,10.18,81.34,5.33,101.31,potato
62.6,33.9,42.8,13.84,43.52,6.36,52.57,wheat
63.6,23.7,30.6,29.26,46.55,6.37,51.09,sorghum
21.8,34.8,19.2,32.84,84.61,6.86,63.79,mungbean
42.4,23.7,31.7,25.69,73.05,5.93,74.14,fingermillet
18.6,21.5,44.8,20.84,93.59,7.05,66.85,pomegranate
89.7,28.9,40.6,29.89,86.26,6.94,110.12,sugarcane
21.7,22.1,34.9,23.02,94.3,6.75,139.06,coconut
53.7,54.1,57.0,32.87,94.13,7.13,124.61,papaya
22.5,50.5,12.1,28.11,83.16,7.43,40.26,mungbean
97.9,33.6,18.5,24.23,54.07,5.79,93.79,maize
86.7,55.1,59.0,25.57,60.21,7.83,60.07,sunflower
10.8,28.3,22.8,29.13,34.79,6.84,36.4,mothbeans
98.1,18.0,66.4,24.37,94.19,5.52,31.86,muskmelon
91.0,34.8,43.7,25.99,75.74,7.1,54.75,jute
23.3,55.2,44.4,9.16,57.57,6.32,58.95,garlic
95.7,36.6,29.4,30.34,78.7,6.41,249.51,jute
25.9,52.1,19.0,31.51,58.0,5.71,213.62,pigeonpeas
35.7,59.5,17.4,23.99,52.2,5.82,131.92,pigeonpeas
78.1,40.4,57.9,18.76,51.73,6.98,50.24,onion
31.3,63.4,21.0,34.43,70.81,7.71,35.1,mothbeans
29.4,57.1,21.1,19.07,24.51,5.46,62.82,kidneybeans
42.0,72.1,81.3,20.96,15.95,7.3,92.19,chickpea
185.1,53.6,29.3,24.59,82.66,6.5,106.7,cotton
43.0,65.3,47.6,22.62,91.99,4.58,208.78,ginger
30.9,135.7,194.7,20.7,88.95,6.48,141.65,apple
26.8,50.3,16.4,26.42,84.94,5.96,33.58,mungbean
16.8,80.8,29.4,21.58,69.2,7.61,61.95,lentil
18.7,20.0,30.6,24.37,87.21,6.61,95.62,pomegranate
76.7,50.0,18.0,5.0,45.81,7.14,28.5,barley
94.5,49.5,25.8,23.62,77.31,6.63,98.74,maize
71.1,28.2,34.1,33.34,57.45,6.81,65.7,sorghum
14.3,108.8,205.8,20.7,94.11,5.87,159.13,apple
76.3,38.4,27.3,11.08,28.56,7.5,36.0,barley
57.4,64.6,15.3,31.71,62.03,7.39,61.65,blackgram
30.1,49.2,7.2,31.47,71.8,5.57,48.51,mothbeans
22.0,12.5,34.1,17.66,89.25,7.52,164.52,pomegranate
20.7,55.0,17.9,25.93,60.83,5.23,93.98,groundnut
49.1,80.1,19.9,30.06,58.33,7.25,67.04,blackgram
16.6,90.4,10.9,24.57,52.37,6.46,125.32,pigeonpeas
131.2,52.3,49.9,13.66,54.69,6.76,61.03,wheat
13.6,73.5,25.7,22.56,52.96,5.71,111.09,pigeonpeas
28.8,77.5,23.7,20.41,14.92,5.56,131.72,kidneybeans
52.0,73.6,71.1,27.64,54.62,7.03,74.65,sunflower
10.7,61.6,23.9,24.15,44.22,5.17,196.83,pigeonpeas
7.2,30.3,20.3,26.17,86.9,5.83,37.16,mungbean
70.4,18.5,48.7,26.86,90.51,6.48,15.89,watermelon
100.7,84.8,53.0,20.76,73.23,6.29,122.44,tomato
73.0,58.3,61.0,21.07,58.05,6.77,52.01,onion
11.1,28.4,27.5,22.87,91.55,7.11,112.31,pomegranate
28.2,39.9,20.6,29.81,51.36,6.62,51.99,mothbeans
18.5,146.6,188.8,22.83,80.73,4.93,86.39,grapes
120.5,42.7,17.4,26.74,80.09,7.84,107.87,cotton
59.1,32.3,24.6,31.56,50.74,6.2,72.44,sorghum
33.9,73.0,24.8,27.02,50.98,6.27,126.44,pigeonpeas
81.9,54.0,52.0,19.63,49.15,6.5,36.8,onion
17.1,47.3,21.4,32.66,46.78,7.45,44.27,mothbeans
30.5,108.9,208.2,22.88,78.5,6.16,58.29,grapes
21.0,50.9,19.7,34.04,60.78,7.7,24.45,mothbeans
25.2,52.5,27.3,21.15,23.74,5.49,70.53,kidneybeans
95.7,20.5,44.9,26.62,84.05,5.86,69.65,watermelon
32.6,75.5,14.8,27.52,61.16,6.49,55.17,lentil
29.4,61.7,26.3,22.29,65.11,5.09,89.17,groundnut
24.2,48.3,23.3,30.88,86.81,6.93,80.25,mungbean
25.0,66.6,23.8,25.42,67.6,6.8,89.32,soybean
22.7,138.0,140.6,25.26,75.95,6.82,85.77,grapes
33.9,20.0,12.5,20.67,91.31,6.63,102.77,orange
17.0,63.0,16.0,23.63,61.38,7.01,92.47,soybean
118.7,54.4,35.8,23.96,84.97,6.71,176.89,rice
44.1,58.8,88.8,12.94,72.63,6.39,73.56,potato
35.9,141.6,185.3,20.74,90.89,5.58,166.54,apple
12.2,8.6,41.1,27.63,94.13,5.9,171.98,coconut
15.0,37.2,16.6,31.05,80.79,6.7,34.44,mungbean
61.1,35.5,32.6,9.69,39.98,6.13,10.0,mustard
75.5,42.7,97.7,26.02,68.37,6.09,75.64,tomato
109.8,21.7,50.0,29.47,90.23,6.46,24.98,muskmelon
49.4,54.6,31.7,6.54,52.56,7.42,10.0,barley
30.6,56.9,8.4,30.04,56.61,6.74,12.47,mothbeans
23.7,86.9,19.0,21.58,16.12,6.34,82.96,kidneybeans
60.7,51.9,39.1,23.75,87.43,5.84,191.08,ginger
47.1,44.2,29.8,26.93,79.4,6.99,166.7,jute
126.2,15.6,38.2,25.47,80.31,6.71,68.87,watermelon
20.5,123.8,207.9,19.2,91.23,5.93,109.41,apple
0.0,80.7,23.8,26.75,67.7,5.96,47.96,soybean
62.3,9.7,58.9,27.06,81.96,7.1,50.36,watermelon
97.3,51.4,80.2,26.7,70.13,6.18,114.02,tomato
32.3,127.1,201.0,25.34,79.82,5.76,61.44,grapes
61.8,51.6,46.4,24.48,81.65,5.43,175.88,ginger
61.9,48.8,41.7,17.87,48.2,6.88,67.85,mustard
100.8,13.8,38.3,25.25,90.61,6.22,12.29,muskmelon
24.1,61.4,28.6,32.21,53.29,5.3,146.8,pigeonpeas
19.8,22.4,46.6,29.35,41.4,6.05,102.12,mango
25.1,77.0,16.8,23.82,47.48,5.9,190.14,pigeonpeas
20.4,21.5,32.7,23.01,89.61,6.55,96.45,pomegranate
75.8,59.2,12.3,15.7,74.78,6.11,104.96,maize
88.7,28.7,50.7,22.03,41.36,6.69,81.61,wheat
66.6,62.8,42.6,18.38,46.83,6.78,66.55,sunflower
25.2,17.4,27.5,23.97,99.81,5.78,90.73,coconut
46.0,66.9,66.6,23.26,70.83,6.19,72.6,sunflower
5.1,70.1,23.1,27.06,37.03,5.59,211.33,pigeonpeas
76.7,75.8,52.4,23.79,86.23,6.32,83.02,tomato
49.8,81.1,20.8,26.14,59.79,5.73,76.07,sunflower
30.7,18.1,45.1,28.17,93.51,5.98,182.75,coconut
38.8,60.0,16.7,26.99,55.82,5.65,65.82,groundnut
39.5,74.3,73.6,16.93,21.32,7.81,10.0,chickpea
23.1,66.7,13.8,19.38,25.22,5.98,126.32,kidneybeans
91.7,40.5,36.5,26.64,84.83,6.1,265.27,rice
65.1,47.5,49.9,24.1,86.77,5.25,120.4,ginger
102.6,23.3,31.4,28.86,92.26,6.62,18.78,muskmelon
25.6,55.4,17.9,30.61,44.2,5.21,127.77,pigeonpeas
19.6,18.0,20.5,28.69,94.97,5.76,140.16,coconut
58.4,65.4,98.6,15.71,12.55,6.6,146.51,chickpea
15.7,16.5,9.7,28.02,93.36,5.39,190.75,coconut
104.8,19.0,37.4,27.14,91.44,6.39,41.0,muskmelon
129.0,45.4,34.7,10.93,62.97,6.29,82.24,wheat
13.6,15.3,43.1,27.9,94.93,6.74,109.1,coconut
22.5,19.2,12.1,19.34,92.44,7.23,110.58,orange
17.8,59.9,15.8,21.98,43.92,5.69,75.62,groundnut
133.9,42.0,12.0,21.23,83.97,7.01,36.01,cotton
16.9,142.2,209.3,25.01,92.58,5.68,142.15,apple
24.3,66.0,3.2,29.84,36.47,5.51,194.8,pigeonpeas
82.1,66.3,50.4,15.37,47.56,7.08,32.73,onion
62.1,48.3,46.1,19.29,64.21,5.34,34.36,garlic
84.1,78.3,93.5,16.08,71.01,5.71,73.13,potato
91.1,7.9,45.4,29.16,94.76,6.91,22.78,muskmelon
21.5,83.3,19.2,23.11,66.11,7.33,41.11,lentil
12.6,22.5,43.0,17.67,90.35,6.94,90.36,pomegranate
29.8,60.0,32.4,25.45,44.85,5.99,73.05,groundnut
46.9,98.3,20.1,28.08,65.58,6.62,34.33,blackgram
22.1,68.5,25.4,21.58,23.48,5.55,92.58,kidneybeans
82.9,55.0,60.6,17.65,72.4,7.63,63.88,onion
65.6,34.2,26.9,24.62,78.22,6.08,225.1,jute
81.8,34.4,37.7,30.16,55.6,6.54,49.43,sorghum
36.5,26.6,58.7,31.57,84.86,5.43,121.9,ginger
26.4,40.3,35.3,31.13,53.33,4.99,115.19,mango
83.1,29.0,43.3,26.22,77.17,5.56,118.24,banana
25.2,55.0,16.5,29.03,85.64,7.35,46.42,mungbean
22.7,121.6,196.6,23.21,76.25,5.43,65.91,grapes
27.3,165.8,209.5,26.8,76.96,6.19,69.7,grapes
29.3,130.7,243.9,26.2,85.7,6.07,48.4,grapes
30.1,133.0,227.9,21.23,89.46,5.87,137.39,apple
74.5,51.7,49.3,26.93,76.8,5.08,144.75,ginger
64.2,38.9,20.7,17.87,76.59,6.05,95.37,maize
15.6,125.8,177.4,25.07,90.02,5.83,130.02,apple
73.1,56.0,30.8,31.2,50.69,7.89,94.24,sorghum
17.2,22.3,26.0,31.63,91.52,6.13,168.66,coconut
25.2,79.7,20.0,17.41,19.52,6.24,57.15,kidneybeans
101.2,53.2,75.8,14.8,86.32,5.31,75.6,potato
40.7,70.0,75.9,16.25,12.4,7.55,92.72,chickpea
29.9,141.2,123.6,19.29,92.62,5.56,101.86,apple
20.1,15.9,10.3,22.24,85.58,7.15,132.83,orange
69.0,90.2,32.6,23.55,57.7,6.33,35.34,sunflower
45.4,36.7,41.8,27.7,47.93,6.66,29.79,sorghum
23.8,23.7,25.9,29.2,95.11,5.85,176.23,coconut
23.4,6.2,17.1,17.17,91.76,6.57,118.48,orange
15.0,81.9,15.1,26.66,43.1,5.29,189.45,pigeonpeas
40.2,89.4,62.5,15.56,15.08,7.37,114.91,chickpea
16.4,44.7,23.9,27.23,48.33,5.6,77.02,groundnut
13.9,29.7,34.1,36.02,53.74,6.16,72.47,mango
16.3,56.4,24.0,32.75,51.64,5.99,17.45,mothbeans
59.5,58.5,86.4,21.53,17.56,6.96,88.9,chickpea
70.0,56.6,28.6,12.78,68.71,6.52,44.12,garlic
58.2,40.7,24.5,8.61,48.57,7.63,39.68,barley
